drugName,AUC,MCC,Accuracy,Kappa,AccuracyLower,AccuracyUpper,AccuracyNull,AccuracyPValue,McnemarPValue,Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Precision,Recall,F1,Prevalence,Detection Rate,Detection Prevalence,Balanced Accuracy
OSU-03012,0.777,0.356092308184146,0.671388888888889,0.338555840821566,0.319890866116101,0.915820504696421,0.516666666666667,0.315557538346829,0.848236323389387,0.61,0.73,0.698333333333333,0.676785714285714,0.698333333333333,0.61,0.629134199134199,0.494444444444444,0.302777777777778,0.439722222222222,0.67
shikonin,0.927,0.668646453806939,0.824444444444444,0.646923076923077,0.464077083130555,0.975194328419954,0.516666666666667,0.0834838738824783,0.858634800130764,0.81,0.835,0.851428571428571,0.844166666666667,0.851428571428571,0.81,0.811890331890332,0.494444444444444,0.402222222222222,0.485555555555556,0.8225
AKT inhibitor VIII,0.82925,0.443822889929922,0.705,0.41149375656436,0.352059189240493,0.927373870691551,0.516666666666667,0.270583312934198,0.694383987926754,0.715,0.7,0.738809523809524,0.742142857142857,0.738809523809524,0.715,0.698131313131313,0.494444444444444,0.350833333333333,0.502222222222222,0.7075
embelin,0.89625,0.612431741226986,0.796111111111111,0.594903493079748,0.444037666266826,0.960296523582637,0.516666666666667,0.148971233803713,0.814454845988512,0.82,0.77,0.810952380952381,0.826428571428571,0.810952380952381,0.82,0.796919191919192,0.494444444444444,0.408611111111111,0.526666666666667,0.795
FH535,0.88425,0.607022297735789,0.798611111111111,0.594915572232645,0.439773440599568,0.967408577144877,0.516666666666667,0.128892584445969,0.942166680242995,0.87,0.725,0.763095238095238,0.856666666666667,0.763095238095238,0.87,0.810252525252525,0.494444444444444,0.431111111111111,0.569166666666667,0.7975
pac-1,0.7485,0.326522927969494,0.658611111111111,0.317058429375502,0.309503209356428,0.910874877121647,0.516666666666667,0.308580084445969,0.947950012218695,0.63,0.69,0.668333333333333,0.665,0.668333333333333,0.63,0.639502164502164,0.494444444444444,0.311388888888889,0.469722222222222,0.66
IPA-3,0.7605,0.32416954603948,0.6575,0.316208791208791,0.317020073837616,0.900847970856253,0.516666666666667,0.357497375434198,0.923415015490395,0.63,0.685,0.663333333333333,0.67047619047619,0.663333333333333,0.63,0.635194805194805,0.494444444444444,0.310277777777778,0.468611111111111,0.6575
GSK-650394,0.747,0.338737801765254,0.656666666666667,0.318571428571429,0.310813455233408,0.906920618410192,0.516666666666667,0.358609647147767,0.75789384335328,0.66,0.66,0.688095238095238,0.6725,0.688095238095238,0.66,0.649365079365079,0.494444444444444,0.325277777777778,0.499444444444444,0.66
BAY 61-3606,0.87875,0.538353217666968,0.761666666666667,0.521923076923077,0.40267582141329,0.952347083436796,0.516666666666667,0.146754435268922,0.873920906271322,0.765,0.755,0.7675,0.792142857142857,0.7675,0.765,0.754758574758575,0.494444444444444,0.379722222222222,0.503333333333333,0.76
thapsigargin,0.954,0.743570623343885,0.855555555555556,0.714132379248658,0.501142265109857,0.979758953236892,0.516666666666667,0.0738073972693131,0.775901665420479,0.9,0.815,0.861904761904762,0.913095238095238,0.861904761904762,0.9,0.863383838383838,0.494444444444444,0.444444444444444,0.538888888888889,0.8575
Obatoclax Mesylate,0.8415,0.475360578366938,0.729444444444444,0.461289198606272,0.374444605151853,0.93726076072761,0.516666666666667,0.213450027582022,0.88433336048599,0.755,0.71,0.728095238095238,0.758333333333333,0.728095238095238,0.755,0.732878787878788,0.494444444444444,0.369722222222222,0.515555555555556,0.7325
BMS-754807,0.872,0.647864403645827,0.811944444444444,0.627209302325581,0.45552061078918,0.967275244031338,0.516666666666667,0.120774246332022,0.873920906271322,0.83,0.8,0.827619047619048,0.84,0.827619047619048,0.83,0.81546176046176,0.494444444444444,0.410833333333333,0.515277777777778,0.815
OSI-906,0.84025,0.518935951827548,0.735,0.476495016611296,0.37569769174541,0.946169817976478,0.516666666666667,0.203445982596438,0.655200160199268,0.725,0.755,0.781666666666667,0.7825,0.781666666666667,0.725,0.717092352092352,0.494444444444444,0.355,0.480555555555556,0.74
Bexarotene,0.878,0.542516444165311,0.765277777777778,0.528846153846154,0.408717493538408,0.948115944202496,0.516666666666667,0.156428211206213,0.914905572767105,0.835,0.69,0.752619047619048,0.808333333333333,0.752619047619048,0.835,0.783694083694084,0.494444444444444,0.413333333333333,0.566944444444444,0.7625
Bleomycin,0.9155,0.68211502516357,0.838333333333333,0.675,0.48185667648496,0.98055502957914,0.516666666666667,0.0793765041951877,0.934937515273369,0.865,0.81,0.819761904761905,0.87,0.819761904761905,0.865,0.839242424242424,0.494444444444444,0.428611111111111,0.524444444444444,0.8375
LFM-A13,0.831,0.524856246850536,0.758611111111111,0.516013133208255,0.415146952538616,0.934806308852529,0.516666666666667,0.234406137503258,1,0.79,0.725,0.748333333333333,0.786666666666667,0.748333333333333,0.79,0.763434343434343,0.494444444444444,0.391111111111111,0.529166666666667,0.7575
AUY922,0.91275,0.651042614622228,0.808611111111111,0.621355643788996,0.452353570880222,0.967792128216261,0.516666666666667,0.131822271945969,0.832936239775539,0.79,0.835,0.848809523809524,0.8325,0.848809523809524,0.79,0.79462481962482,0.494444444444444,0.388611111111111,0.474166666666667,0.8125
Bryostatin 1,0.81375,0.568122486776989,0.775,0.54906191369606,0.413261529092584,0.963768201709472,0.516666666666667,0.15076976519636,0.895900024437391,0.8,0.75,0.781428571428571,0.806666666666667,0.781428571428571,0.8,0.775858585858586,0.494444444444444,0.396111111111111,0.522777777777778,0.775
